斗鱼3,#genre#
进击的神乐,https://www.goodiptv.club/douyu/85894
牛叔说电影,https://www.goodiptv.club/douyu/2758565
小片片说大片,https://www.goodiptv.club/douyu/4258555
橙記Orange丶,https://www.goodiptv.club/douyu/4549169
开心锤锤动漫,https://www.goodiptv.club/douyu/9018297
火龙果说电影,https://www.goodiptv.club/douyu/9559158
进击D神乐,https://www.goodiptv.club/douyu/122402
i美兮,https://www.goodiptv.club/douyu/6668627
美兮超可爱的,https://www.goodiptv.club/douyu/20415
宋小宝小品,https://www.goodiptv.club/douyu/9817729
鱼宝好困,https://www.goodiptv.club/douyu/1165374
狂仔酷炫,https://www.goodiptv.club/douyu/252802
老高与小茉的死忠粉,https://www.goodiptv.club/douyu/236461
PP看动漫,https://www.goodiptv.club/douyu/9837291
牛叔说电影二台,https://www.goodiptv.club/douyu/10010651
史君说剧,https://www.goodiptv.club/douyu/9419771
开心麻花经典小品,https://www.goodiptv.club/douyu/10153463
游钓中国李大毛,https://www.goodiptv.club/douyu/791411
刘老师说电影,https://www.goodiptv.club/douyu/8317926
篮球人物,https://www.goodiptv.club/douyu/8434598
虫哥说电影,https://www.goodiptv.club/douyu/8915074
都市夜魔人老王,https://www.goodiptv.club/douyu/610972
大漠叔叔Dm,https://www.goodiptv.club/douyu/1109218
贾玲经典小品,https://www.goodiptv.club/douyu/10419541
UnaDirezione,https://www.goodiptv.club/douyu/218859
Rainsun宇,https://www.goodiptv.club/douyu/323876
韓美兮,https://www.goodiptv.club/douyu/2838296
baby丶贝贝,https://www.goodiptv.club/douyu/431460
自说自话的总裁,https://www.goodiptv.club/douyu/9317739
伊太刀刀,https://www.goodiptv.club/douyu/747764
蓝翔新三国,https://www.goodiptv.club/douyu/5908256
1900影剧室,https://www.goodiptv.club/douyu/7796193
爱情公寓丶神乐,https://www.goodiptv.club/douyu/6566658
科幻Fans布玛,https://www.goodiptv.club/douyu/3508304
珍珠奶茶嗯哼哎哟,https://www.goodiptv.club/douyu/6566671
OneGuy丶,https://www.goodiptv.club/douyu/9734098
是一坨蓝翔啊,https://www.goodiptv.club/douyu/276200
萌小鬼,https://www.goodiptv.club/douyu/3928
怡宝妹妹丶,https://www.goodiptv.club/douyu/434971
万合出品,https://www.goodiptv.club/douyu/9220456
狂拽酷炫,https://www.goodiptv.club/douyu/4332
周杰伦颜老师,https://www.goodiptv.club/douyu/7537296
用户1275665728,https://www.goodiptv.club/douyu/9067836
UU娇哒哒呀,https://www.goodiptv.club/douyu/96577
安慕兮超好喝,https://www.goodiptv.club/douyu/5062195
龍組队长天昊,https://www.goodiptv.club/douyu/1487654
蓝翔老三国,https://www.goodiptv.club/douyu/7459925
小约翰可汗,https://www.goodiptv.club/douyu/9738854
傲娇的虾虾,https://www.goodiptv.club/douyu/338759
赵本山经典小品,https://www.goodiptv.club/douyu/9817716
久了旧知,https://www.goodiptv.club/douyu/310926
我们可爱的程程,https://www.goodiptv.club/douyu/329667
进击的神樂,https://www.goodiptv.club/douyu/6557037
刘少丶7012,https://www.goodiptv.club/douyu/131977
嫒沵芯卟浍变,https://www.goodiptv.club/douyu/11544610
烟雨抚风,https://www.goodiptv.club/douyu/11649079
灬魔丶力灬,https://www.goodiptv.club/douyu/11578014
吃奶滴虫,https://www.goodiptv.club/douyu/263824
棉花糖丶蔷薇,https://www.goodiptv.club/douyu/11578540
回首已丶陌然,https://www.goodiptv.club/douyu/10120371
贾贵队长真男神,https://www.goodiptv.club/douyu/299854
哇塞的星星,https://www.goodiptv.club/douyu/11854896
微醺的月色鹿,https://www.goodiptv.club/douyu/11606410
灬梅子丶,https://www.goodiptv.club/douyu/11645048
丨灬释怀灬丨,https://www.goodiptv.club/douyu/11391949
自在仙丶望月者,https://www.goodiptv.club/douyu/11543347
心态要稳住啊,https://www.goodiptv.club/douyu/12048453
大麦青汁Fl,https://www.goodiptv.club/douyu/9071554
财神爷来了呀,https://www.goodiptv.club/douyu/11678039
青丝染霜华丶,https://www.goodiptv.club/douyu/11656555
当燕双鹰遇见李元芳,https://www.goodiptv.club/douyu/3439096
追梦凌宝,https://www.goodiptv.club/douyu/1377142
粤语电影丶,https://www.goodiptv.club/douyu/1226741
小黛兮丶,https://www.goodiptv.club/douyu/11553944
丨灬发财叔灬丨,https://www.goodiptv.club/douyu/9470198
当幽兰剑遇上链子刀,https://www.goodiptv.club/douyu/6027991
回忆总是陌路丶,https://www.goodiptv.club/douyu/11618658
慕白Harlan,https://www.goodiptv.club/douyu/3405478
星河入潮汐丶,https://www.goodiptv.club/douyu/11873641
帽子里的火星,https://www.goodiptv.club/douyu/12033124
师落,https://www.goodiptv.club/douyu/6911044
梧水何流年,https://www.goodiptv.club/douyu/12082369
吃米滴虫,https://www.goodiptv.club/douyu/315457

斗鱼2,#genre#
http://m.douyu.com/4246519
吃米滴虫http://zzy789.xyz/douyu1.php?id=315457
【牛叔】N分钟带你看完大片,http://A/ku9/js/douyu.js?id=2758565
【片片】片荒的时候看片片,http://A/ku9/js/douyu.js?id=4258555
开心锤锤，开心快乐每一天！,http://A/ku9/js/douyu.js?id=9018297
【斗鱼最强女团】Kpop女团点播直播间,http://A/ku9/js/douyu.js?id=329667
【更新】最全斗牌、麻将剧集解说,http://A/ku9/js/douyu.js?id=9559158
科学黑历史,http://A/ku9/js/douyu.js?id=9317739
【樱木花道灌篮】PP动漫精彩解说,http://A/ku9/js/douyu.js?id=9837291
老高与小茉的睡前科普,http://A/ku9/js/douyu.js?id=236461
【牛叔2台】欢迎来到牛叔的悬疑世界,http://A/ku9/js/douyu.js?id=10010651
【开心麻花】沈腾、马丽经典小品专场,http://A/ku9/js/douyu.js?id=10153463
【史君说剧】史君说尽天下好剧,http://A/ku9/js/douyu.js?id=9419771
《游钓中国》第十季同步更新中,http://A/ku9/js/douyu.js?id=791411
【体育】聊聊科比、乔丹传奇故事,http://A/ku9/js/douyu.js?id=8434598
扑朔迷离的案件里隐藏着什么？,http://A/ku9/js/douyu.js?id=610972
【虫哥】魔性吐槽童年回忆,http://A/ku9/js/douyu.js?id=8915074
【刘老师】每天爆笑解说不断,http://A/ku9/js/douyu.js?id=8317926
【咖妃驾到】宋小宝经典小品,http://A/ku9/js/douyu.js?id=9817729
【1900影剧室】精讲剧场,http://A/ku9/js/douyu.js?id=7796193
你的海南军阀给你带来最地道的赶海,http://A/ku9/js/douyu.js?id=1109218
贾玲经典小品的直播间,http://A/ku9/js/douyu.js?id=10419541
【正版】经典小品，下饭必备,http://A/ku9/js/douyu.js?id=9067836
口音贼重的解说直播间,http://A/ku9/js/douyu.js?id=9734098
【全体起立】你的本山大叔超强来袭,http://A/ku9/js/douyu.js?id=9817716
【万合天宜】王大锤情怀上线,http://A/ku9/js/douyu.js?id=9220456
你滴勋宗，8.12已更新,http://A/ku9/js/douyu.js?id=9738854
【科幻Fans】精彩科幻影视，解说连连看,http://A/ku9/js/douyu.js?id=3508304
❤️周杰伦❤️最强专场音乐MV演唱会华语,http://A/ku9/js/douyu.js?id=7537296
清晨醒脑！T-ARA根本停不下来！,http://A/ku9/js/douyu.js?id=17732
moka10.21首次回归加油一切顺利,http://A/ku9/js/douyu.js?id=40471
车模点播直播间关注关注,http://A/ku9/js/douyu.js?id=9957400
美女车模鉴赏团～,http://A/ku9/js/douyu.js?id=9837104
金在中_DreamyRoad,http://A/ku9/js/douyu.js?id=8189873
【广场舞】,http://A/ku9/js/douyu.js?id=292098
风又摇醒昨夜的梦,http://A/ku9/js/douyu.js?id=9588891
门面主舞韩维辰 MC出演顺利,http://A/ku9/js/douyu.js?id=8266799
车模现场，美女云集,http://A/ku9/js/douyu.js?id=10118209
已更新！聊聊武侠与江湖,http://A/ku9/js/douyu.js?id=8986636
【韩国车模经典影视】,http://A/ku9/js/douyu.js?id=1360303
【悬疑】古今中外犯罪录,http://A/ku9/js/douyu.js?id=9171887
电影最TOP,http://A/ku9/js/douyu.js?id=2164691

斗鱼1,#genre#
日剧场,http://blanki.cf/api/douyu.php?id=9650860
快进贱丶睡眠好剧_直播间,http://blanki.cf/api/douyu.php?id=7517784
星爷 动作  恐怖  枪战_直播间,http://blanki.cf/api/douyu.php?id=9193876
恐怖 丧尸 鬼片 灾难_直播间,http://blanki.cf/api/douyu.php?id=263824
电影 欧美 科幻 经典_直播间,http://blanki.cf/api/douyu.php?id=20415
每人喂500就好了，小鲨鱼拜托大家啦_直播间,http://blanki.cf/api/douyu.php?id=7528160
爆笑解说火火火影【小阿掌】_直播间,http://blanki.cf/api/douyu.php?id=2365
纯欲系初恋 电视剧 电影 动漫_直播间,http://blanki.cf/api/douyu.php?id=6566658
经典之作必看&#9829;_直播间,http://blanki.cf/api/douyu.php?id=1428266
满目皆星河~_直播间,http://blanki.cf/api/douyu.php?id=7136517
粤语电影&#11088;周星驰 林正英 经典喜剧 白话_直播间,http://blanki.cf/api/douyu.php?id=6566671
楠者电影，最会讲电影的人_直播间,http://blanki.cf/api/douyu.php?id=9485398
【释压&#8226;甩负】二次创作，每日打卡点播间。_直播间,http://blanki.cf/api/douyu.php?id=7971641
【冰冰】恐怖/经典/搞笑陪你一起_直播间,http://blanki.cf/api/douyu.php?id=74374
【庆帝】云淡风轻正闲处，鲜衣怒马少年时_直播间,http://blanki.cf/api/douyu.php?id=7489563
【华语厅】星爷 沈腾 成龙 刘德华 喜剧_直播间,http://blanki.cf/api/douyu.php?id=925724
【小鸽陪看】动作 枪战 经典 科幻_直播间,http://blanki.cf/api/douyu.php?id=3928
渡尽劫波兄弟在，相逢一笑泯恩仇！_直播间,http://blanki.cf/api/douyu.php?id=7575350
经典港片 周星驰 周润发 成龙 刘德华等_直播间,http://blanki.cf/api/douyu.php?id=7029806
全天冷气开放~_直播间,http://blanki.cf/api/douyu.php?id=6079455
直播间,http://blanki.cf/api/douyu.php?id=1377142
直播间,http://blanki.cf/api/douyu.php?id=1735337
飞社长日本二次元探秘_直播间,http://blanki.cf/api/douyu.php?id=524757
